id,first_name,last_name,edad,puntos por partido,rebotes por partido
767,Ricky,Mandre,27,84,37
768,Lem,Hamlett,20,14,66
769,Marian,Savin,42,67,41
770,Agnola,Ambrosio,41,13,67
771,Garret,Bakey,19,73,60
772,Wileen,Byre,49,52,67
773,Ab,Savill,49,84,8
774,Tirrell,Devorill,30,17,71
775,Salomo,Milthorpe,46,89,77
776,Webb,Meedendorpe,32,45,48
777,Mirabelle,O' Mara,18,69,39
778,Helenka,Senogles,42,18,65
779,Robbin,Wressell,24,3,60
780,Hercules,Bewicke,27,70,100
781,Marco,Soan,20,79,95
782,Timmi,Keyser,23,13,28
783,Keefe,Elves,38,83,86
784,Tomas,Kauscher,23,48,31
785,Camey,Lochead,35,83,97
786,Johnnie,Bigby,28,79,88
787,Micheil,Tristram,42,72,50
788,Victoir,Whimpenny,24,58,92
789,Emmeline,Lamont,18,8,27
790,Talbert,Tenpenny,41,28,65
791,Elias,Sommerton,30,7,80
792,Lurleen,Hollingsbee,44,43,2
793,Moll,Grewes,39,14,96
794,Domingo,Paladino,32,55,44
795,Lexie,Sollis,22,12,43
796,Moria,Pinney,18,33,38
797,Ingemar,Hillhouse,37,29,52
798,Rich,Charlick,21,48,51
799,Flynn,Avey,31,13,27
800,Jenn,Hauxley,37,27,59
801,Randell,Dwerryhouse,20,12,11
802,Emmey,Chess,47,68,82
803,Datha,Luty,39,9,5
804,Edward,Yeld,32,41,3
805,Carin,Morton,36,66,52
806,Brittany,Quene,30,14,64
807,Gaspard,Dudny,30,29,64
808,Paige,Saltsberg,43,73,47
809,Angelia,Reppaport,24,71,97
810,Cassandra,Shemelt,31,25,72
811,Abbe,Sandiford,29,35,11
812,Floria,Djekovic,19,52,92
813,Kali,Bech,41,75,86
814,Shellie,Djurkovic,33,72,32
815,Lindsey,Flanner,22,79,18
816,Rebeka,Steere,49,40,22
817,Tine,Levi,40,16,3
818,Lenard,Scargle,20,68,17
819,Hertha,Diess,31,92,93
820,Abramo,Duffill,39,54,71
821,Carmelina,Insull,45,72,27
822,Sallyann,Ciobotaro,25,4,78
823,Malvin,Balbeck,43,83,64
824,Kent,Brearty,38,38,97
825,Courtnay,Cantos,49,90,95
826,Gottfried,Farnill,45,71,24
827,Westley,Boole,18,36,15
828,Thornie,Nazareth,30,96,40
829,Ringo,Southouse,23,78,62
830,Maribel,Ramel,19,4,96
831,Alix,Singers,37,91,83
832,Haywood,Denerley,20,72,86
833,Loy,McRavey,48,49,58
834,Wheeler,Brackpool,34,29,45
835,Benjamen,Begley,24,22,40
836,Hayward,Eastwood,44,34,57
837,Siouxie,Logsdail,32,53,97
838,Kristin,Kaemena,44,71,81
839,Bay,Snalham,46,61,45
840,Jecho,Ralestone,31,70,14
841,Melva,McKeefry,20,13,76
842,Anabella,Devey,25,85,88
843,Lindon,Guilloton,50,96,10
844,Roxana,Akenhead,38,61,27
845,Elnore,Bricket,37,54,3
846,Ernesta,Teers,41,74,29
847,Renie,Boreland,39,51,19
848,Verena,Bedin,29,44,69
849,Stillman,Sankey,22,90,59
850,Emelina,Raine,20,88,19
851,Burl,Broomer,30,4,69
852,Davita,Passo,50,1,12
853,Saunderson,Champneys,33,4,41
854,Hannis,Frude,50,47,89
855,Justinn,Jilliss,28,55,90
856,Ronica,Hultberg,20,37,23
857,Lizzie,Mennithorp,33,82,58
858,Odey,Ioannou,41,20,43
859,Eugenio,Cristoforetti,48,5,64
860,Malynda,Wycherley,37,32,3
861,Cesya,Poltone,28,81,38
862,Yancy,Skillings,33,18,27
863,Aundrea,Abbott,29,16,2
864,Marlow,Syrie,48,99,11
865,Zea,Berrington,25,23,72
866,Tulley,Caen,37,10,20
867,Raddy,Edwin,27,10,90
868,Hugues,Paullin,40,75,54
869,Denny,Brookesbie,18,85,35
870,Cordi,Goodswen,36,70,4
871,Thornie,Girardi,43,95,62
872,Dari,Monahan,49,42,85
873,Annaliese,Eloi,26,35,62
874,Pippo,Huddle,29,65,45
875,Huberto,Golton,37,25,37
876,Wendy,Endrizzi,33,94,8
877,Jerrie,Litchmore,34,58,48
878,Bobine,Tarbox,38,63,75
879,Maisey,Trayhorn,35,87,58
880,Pen,Radmer,25,29,52
881,Iago,Grove,39,97,31
882,Chiquita,Swannick,23,97,67
883,Christie,Malling,42,61,47
884,Naomi,Avis,38,97,86
885,Alta,Couche,34,65,93
886,Philippine,Rame,21,57,20
887,Elroy,Rosingdall,47,69,99
888,Augustin,Winterbottom,32,65,10
889,Andreas,Gauntlett,25,46,48
890,Jen,Myford,19,48,50
891,Cecilla,Mattacks,39,43,84
892,Katine,Blakelock,44,98,42
893,Fiann,Wiper,26,87,22
894,Hazlett,Libri,39,92,45
895,Glad,Beyer,48,55,62
896,Suzette,Stares,23,23,42
897,Garnet,Alloway,22,25,58
898,Othilia,Frederick,27,59,40
899,Faber,Tomek,38,27,34
900,Roselle,Brodhead,36,39,74
901,Ollie,Bourrel,44,35,8
902,Nanete,Charteris,32,98,26
903,Miof mela,Lynskey,44,72,59
904,Artemus,Duding,20,8,1
905,Murvyn,Chastaing,32,17,31
906,Aristotle,Mebes,40,77,60
907,Benedicta,Sloam,21,65,38
908,Cally,Dukelow,49,33,89
909,Fabien,Higounet,49,30,67
910,Bria,Bruins,45,20,38
911,Samson,Doll,24,78,10
912,Abdel,Tregoning,28,49,19
913,Janice,Mullaly,19,28,65
914,Mathias,Litt,35,72,23
915,Quincey,McCraine,28,66,49
916,Kendall,Mangon,46,99,69
917,Mable,McFetridge,30,49,20
918,Bella,Glazer,48,43,81
919,Son,Dalligan,26,78,5
920,Gino,Peppard,44,33,25
921,Lemuel,Spadelli,23,4,75
922,Cammie,Bunney,24,9,100
923,Adella,Tacker,18,13,13
924,Jackie,Kenneway,40,58,10
925,Jori,Greenacre,21,58,9
926,Wendel,Etteridge,43,26,56
927,Fanechka,Harrie,18,69,61
928,Elga,Stallen,40,73,70
929,Annetta,Jowers,32,66,31
930,Adorne,Ohanessian,25,75,86
931,Joby,Mabbot,48,13,85
932,Berky,Rosentholer,39,74,36
933,Ivory,Cracie,49,8,54
934,Emily,Weed,26,10,11
935,Else,McLaughlan,20,71,36
936,Tabor,Bryson,45,15,10
937,Madella,Foulgham,18,50,95
938,Dierdre,Pollen,19,83,18
939,Delainey,Pierton,37,96,12
940,Peder,Huckabe,34,60,6
941,Hollyanne,Downing,28,21,30
942,Ailbert,Degnen,20,69,18
943,Helaine,Parres,44,15,15
944,Udale,Boldra,45,61,90
945,Shannan,Bigadike,37,59,50
946,Torey,Oggers,44,13,99
947,Alexandre,Ketley,41,98,26
948,Roy,Erwin,22,7,6
949,Euell,Bascomb,32,64,65
950,Angy,Whyler,45,24,19
951,Milli,Pleace,25,1,64
952,Monroe,Grosvenor,40,55,86
953,Christie,Seydlitz,46,46,73
954,Allie,Cadamy,50,84,93
955,Kassey,Philpault,20,22,42
956,Jermaine,Boas,36,90,80
957,Sandra,Tibbits,18,29,79
958,Davie,Priel,50,58,32
959,Griffith,Mattis,30,80,15
960,Ami,Rozsa,31,86,61
961,Maje,Kuller,40,26,62
962,Julio,Pilley,19,50,68
963,Reilly,Mursell,21,17,50
964,Natale,Summons,44,35,54
965,Melisandra,Sparwell,31,37,90
966,Ulises,Ellington,28,39,89
967,Perrine,Gravenall,18,87,55
968,Vaughan,Littleproud,33,23,8
969,Lorene,Bulbeck,34,71,73
970,Ginnie,Chisnell,33,79,83
971,Isador,Craghead,42,11,83
972,Tally,Lawson,24,7,28
973,Floyd,Tew,24,82,57
974,Olivier,Thiem,24,78,97
975,Tanitansy,Schuricht,42,13,56
976,Bella,Mann,20,60,37
977,Horten,Devin,30,14,86
978,Cheston,Baggs,45,68,11
979,Shaw,Franzoli,21,93,94
980,Janeen,Fevers,19,75,45
981,Waverly,Dring,33,14,21
982,Cynthie,Son,43,81,39
983,Tamar,Grint,23,25,80
984,Anita,Kasperski,19,29,50
985,Bette,Gullen,44,95,87
986,Guillaume,Monteith,38,96,12
987,Koral,Lody,47,25,2
988,Irvin,Downton,22,8,29
989,Halie,Wilson,35,86,32
990,Stevana,Rex,30,84,42
991,Hermione,Woofinden,43,18,4
992,Orren,McQuirk,41,12,27
993,Victoir,Wickendon,43,93,22
994,Klemens,Hackey,38,16,71
995,Scarlett,Huntriss,48,58,10
996,Gabbie,Montford,37,69,26
997,Patrick,Riccio,29,77,21
998,Abey,Gribbon,18,16,58
999,Jennie,Philipsen,18,65,73
1000,Annette,O'Cannavan,37,55,70
